s,cx,cy,lx,ly,rx,ry
0,0,0,0,5,0,-5
0.49967,0.49967,0,0.49967,5,0.49967,-5
0.999339,0.999339,0,0.999339,5,0.999339,-5
1.49901,1.49901,0,1.49901,5,1.49901,-5
1.99868,1.99868,0,1.99868,5,1.99868,-5
2.49835,2.49835,0,2.49835,5,2.49835,-5
2.99802,2.99802,0,2.99802,5,2.99802,-5
3.49769,3.49769,0,3.49769,5,3.49769,-5
3.99736,3.99736,0,3.99736,5,3.99736,-5
4.49703,4.49703,0,4.49703,5,4.49703,-5
4.9967,4.9967,0,4.9967,5,4.9967,-5
5.49637,5.49637,0,5.49637,5,5.49637,-5
5.99603,5.99603,0,5.99603,5,5.99603,-5
6.4957,6.4957,0,6.4957,5,6.4957,-5
6.99537,6.99537,0,6.99537,5,6.99537,-5
7.49504,7.49504,0,7.49504,5,7.49504,-5
7.99471,7.99471,0,7.99471,5,7.99471,-5
8.49438,8.49438,0,8.49438,5,8.49438,-5
8.99405,8.99405,0,8.99405,5,8.99405,-5
9.49372,9.49372,0,9.49372,5,9.49372,-5
9.99339,9.99339,0,9.99339,5,9.99339,-5
10.4931,10.4931,0,10.4931,5,10.4931,-5
10.9927,10.9927,0,10.9927,5,10.9927,-5
11.4924,11.4924,0,11.4924,5,11.4924,-5
11.9921,11.9921,0,11.9921,5,11.9921,-5
12.4917,12.4917,0,12.4917,5,12.4917,-5
12.9914,12.9914,0,12.9914,5,12.9914,-5
13.4911,13.4911,0,13.4911,5,13.4911,-5
13.9907,13.9907,0,13.9907,5,13.9907,-5
14.4904,14.4904,0,14.4904,5,14.4904,-5
14.9901,14.9901,0,14.9901,5,14.9901,-5
15.4898,15.4898,0,15.4898,5,15.4898,-5
15.9894,15.9894,0,15.9894,5,15.9894,-5
16.4891,16.4891,0,16.4891,5,16.4891,-5
16.9888,16.9888,0,16.9888,5,16.9888,-5
17.4884,17.4884,0,17.4884,5,17.4884,-5
17.9881,17.9881,0,17.9881,5,17.9881,-5
18.4878,18.4878,0,18.4878,5,18.4878,-5
18.9874,18.9874,0,18.9874,5,18.9874,-5
19.4871,19.4871,0,19.4871,5,19.4871,-5
19.9868,19.9868,0,19.9868,5,19.9868,-5
20.4865,20.4865,0,20.4865,5,20.4865,-5
20.9861,20.9861,0,20.9861,5,20.9861,-5
21.4858,21.4858,0,21.4858,5,21.4858,-5
21.9855,21.9855,0,21.9855,5,21.9855,-5
22.4851,22.4851,0,22.4851,5,22.4851,-5
22.9848,22.9848,0,22.9848,5,22.9848,-5
23.4845,23.4845,0,23.4845,5,23.4845,-5
23.9841,23.9841,0,23.9841,5,23.9841,-5
24.4838,24.4838,0,24.4838,5,24.4838,-5
24.9835,24.9835,0,24.9835,5,24.9835,-5
25.4831,25.4831,0,25.4831,5,25.4831,-5
25.9828,25.9828,0,25.9828,5,25.9828,-5
26.4825,26.4825,0,26.4825,5,26.4825,-5
26.9822,26.9822,0,26.9822,5,26.9822,-5
27.4818,27.4818,0,27.4818,5,27.4818,-5
27.9815,27.9815,0,27.9815,5,27.9815,-5
28.4812,28.4812,0,28.4812,5,28.4812,-5
28.9808,28.9808,0,28.9808,5,28.9808,-5
29.4805,29.4805,0,29.4805,5,29.4805,-5
29.9802,29.9802,0,29.9802,5,29.9802,-5
30.4798,30.4798,0,30.4798,5,30.4798,-5
30.9795,30.9795,0,30.9795,5,30.9795,-5
31.4792,31.4792,0,31.4792,5,31.4792,-5
31.9789,31.9789,0,31.9789,5,31.9789,-5
32.4785,32.4785,0,32.4785,5,32.4785,-5
32.9782,32.9782,0,32.9782,5,32.9782,-5
33.4779,33.4779,0,33.4779,5,33.4779,-5
33.9775,33.9775,0,33.9775,5,33.9775,-5
34.4772,34.4772,0,34.4772,5,34.4772,-5
34.9769,34.9769,0,34.9769,5,34.9769,-5
35.4765,35.4765,0,35.4765,5,35.4765,-5
35.9762,35.9762,0,35.9762,5,35.9762,-5
36.4759,36.4759,0,36.4759,5,36.4759,-5
36.9755,36.9755,0,36.9755,5,36.9755,-5
37.4752,37.4752,0,37.4752,5,37.4752,-5
37.9749,37.9749,0,37.9749,5,37.9749,-5
38.4746,38.4746,0,38.4746,5,38.4746,-5
38.9742,38.9742,0,38.9742,5,38.9742,-5
39.4739,39.4739,0,39.4739,5,39.4739,-5
39.9736,39.9736,0,39.9736,5,39.9736,-5
40.4732,40.4732,0,40.4732,5,40.4732,-5
40.9729,40.9729,0,40.9729,5,40.9729,-5
41.4726,41.4726,0,41.4726,5,41.4726,-5
41.9722,41.9722,0,41.9722,5,41.9722,-5
42.4719,42.4719,0,42.4719,5,42.4719,-5
42.9716,42.9716,0,42.9716,5,42.9716,-5
43.4713,43.4713,0,43.4713,5,43.4713,-5
43.9709,43.9709,0,43.9709,5,43.9709,-5
44.4706,44.4706,0,44.4706,5,44.4706,-5
44.9703,44.9703,0,44.9703,5,44.9703,-5
45.4699,45.4699,0,45.4699,5,45.4699,-5
45.9696,45.9696,0,45.9696,5,45.9696,-5
46.4693,46.4693,0,46.4693,5,46.4693,-5
46.9689,46.9689,0,46.9689,5,46.9689,-5
47.4686,47.4686,0,47.4686,5,47.4686,-5
47.9683,47.9683,0,47.9683,5,47.9683,-5
48.4679,48.4679,0,48.4679,5,48.4679,-5
48.9676,48.9676,0,48.9676,5,48.9676,-5
49.4673,49.4673,0,49.4673,5,49.4673,-5
49.967,49.967,0,49.967,5,49.967,-5
50.4666,50.4666,0,50.4666,5,50.4666,-5
50.9663,50.9663,0,50.9663,5,50.9663,-5
51.466,51.466,0,51.466,5,51.466,-5
51.9656,51.9656,0,51.9656,5,51.9656,-5
52.4653,52.4653,0,52.4653,5,52.4653,-5
52.965,52.965,0,52.965,5,52.965,-5
53.4646,53.4646,0,53.4646,5,53.4646,-5
53.9643,53.9643,0,53.9643,5,53.9643,-5
54.464,54.464,0,54.464,5,54.464,-5
54.9637,54.9637,0,54.9637,5,54.9637,-5
55.4633,55.4633,0,55.4633,5,55.4633,-5
55.963,55.963,0,55.963,5,55.963,-5
56.4627,56.4627,0,56.4627,5,56.4627,-5
56.9623,56.9623,0,56.9623,5,56.9623,-5
57.462,57.462,0,57.462,5,57.462,-5
57.9617,57.9617,0,57.9617,5,57.9617,-5
58.4613,58.4613,0,58.4613,5,58.4613,-5
58.961,58.961,0,58.961,5,58.961,-5
59.4607,59.4607,0,59.4607,5,59.4607,-5
59.9603,59.9603,0,59.9603,5,59.9603,-5
60.46,60.46,0,60.46,5,60.46,-5
60.9597,60.9597,0,60.9597,5,60.9597,-5
61.4594,61.4594,0,61.4594,5,61.4594,-5
61.959,61.959,0,61.959,5,61.959,-5
62.4587,62.4587,0,62.4587,5,62.4587,-5
62.9584,62.9584,0,62.9584,5,62.9584,-5
63.458,63.458,0,63.458,5,63.458,-5
63.9577,63.9577,0,63.9577,5,63.9577,-5
64.4574,64.4574,0,64.4574,5,64.4574,-5
64.957,64.957,0,64.957,5,64.957,-5
65.4567,65.4567,0,65.4567,5,65.4567,-5
65.9564,65.9564,0,65.9564,5,65.9564,-5
66.4561,66.4561,0,66.4561,5,66.4561,-5
66.9557,66.9557,0,66.9557,5,66.9557,-5
67.4554,67.4554,0,67.4554,5,67.4554,-5
67.9551,67.9551,0,67.9551,5,67.9551,-5
68.4547,68.4547,0,68.4547,5,68.4547,-5
68.9544,68.9544,0,68.9544,5,68.9544,-5
69.4541,69.4541,0,69.4541,5,69.4541,-5
69.9537,69.9537,0,69.9537,5,69.9537,-5
70.4534,70.4534,0,70.4534,5,70.4534,-5
70.9531,70.9531,0,70.9531,5,70.9531,-5
71.4528,71.4528,0,71.4528,5,71.4528,-5
71.9524,71.9524,0,71.9524,5,71.9524,-5
72.4521,72.4521,0,72.4521,5,72.4521,-5
72.9518,72.9518,0,72.9518,5,72.9518,-5
73.4514,73.4514,0,73.4514,5,73.4514,-5
73.9511,73.9511,0,73.9511,5,73.9511,-5
74.4508,74.4508,0,74.4508,5,74.4508,-5
74.9504,74.9504,0,74.9504,5,74.9504,-5
75.4501,75.4501,0,75.4501,5,75.4501,-5
75.9498,75.9498,0,75.9498,5,75.9498,-5
76.4494,76.4494,0,76.4494,5,76.4494,-5
76.9491,76.9491,0,76.9491,5,76.9491,-5
77.4488,77.4488,0,77.4488,5,77.4488,-5
77.9485,77.9485,0,77.9485,5,77.9485,-5
78.4481,78.4481,0,78.4481,5,78.4481,-5
78.9478,78.9478,0,78.9478,5,78.9478,-5
79.4475,79.4475,0,79.4475,5,79.4475,-5
79.9471,79.9471,0,79.9471,5,79.9471,-5
80.4468,80.4468,0,80.4468,5,80.4468,-5
80.9465,80.9465,0,80.9465,5,80.9465,-5
81.4461,81.4461,0,81.4461,5,81.4461,-5
81.9458,81.9458,0,81.9458,5,81.9458,-5
82.4455,82.4455,0,82.4455,5,82.4455,-5
82.9452,82.9452,0,82.9452,5,82.9452,-5
83.4448,83.4448,0,83.4448,5,83.4448,-5
83.9445,83.9445,0,83.9445,5,83.9445,-5
84.4442,84.4442,0,84.4442,5,84.4442,-5
84.9438,84.9438,0,84.9438,5,84.9438,-5
85.4435,85.4435,0,85.4435,5,85.4435,-5
85.9432,85.9432,0,85.9432,5,85.9432,-5
86.4428,86.4428,0,86.4428,5,86.4428,-5
86.9425,86.9425,0,86.9425,5,86.9425,-5
87.4422,87.4422,0,87.4422,5,87.4422,-5
87.9418,87.9418,0,87.9418,5,87.9418,-5
88.4415,88.4415,0,88.4415,5,88.4415,-5
88.9412,88.9412,0,88.9412,5,88.9412,-5
89.4409,89.4409,0,89.4409,5,89.4409,-5
89.9405,89.9405,0,89.9405,5,89.9405,-5
90.4402,90.4402,0,90.4402,5,90.4402,-5
90.9399,90.9399,0,90.9399,5,90.9399,-5
91.4395,91.4395,0,91.4395,5,91.4395,-5
91.9392,91.9392,0,91.9392,5,91.9392,-5
92.4389,92.4389,0,92.4389,5,92.4389,-5
92.9385,92.9385,0,92.9385,5,92.9385,-5
93.4382,93.4382,0,93.4382,5,93.4382,-5
93.9379,93.9379,0,93.9379,5,93.9379,-5
94.4376,94.4376,0,94.4376,5,94.4376,-5
94.9372,94.9372,0,94.9372,5,94.9372,-5
95.4369,95.4369,0,95.4369,5,95.4369,-5
95.9366,95.9366,0,95.9366,5,95.9366,-5
96.4362,96.4362,0,96.4362,5,96.4362,-5
96.9359,96.9359,0,96.9359,5,96.9359,-5
97.4356,97.4356,0,97.4356,5,97.4356,-5
97.9352,97.9352,0,97.9352,5,97.9352,-5
98.4349,98.4349,0,98.4349,5,98.4349,-5
98.9346,98.9346,0,98.9346,5,98.9346,-5
99.4342,99.4342,0,99.4342,5,99.4342,-5
99.9339,99.9339,0,99.9339,5,99.9339,-5
100.434,100.434,0.00187996,100.39,5.00169,100.477,-4.99793
100.933,100.933,0.00870941,100.84,5.00784,101.027,-4.99042
101.433,101.433,0.0205313,101.289,5.01848,101.576,-4.97742
